Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Length (Duration),Popularity
664,Mooi,Marco Borsato,dutch cabaret,2016,150,43,49,-8,12,315,59
665,I Just Can't Help Believin',Elvis Presley,adult standards,2016,142,66,46,-8,9,274,44
666,Love & Hate,Michael Kiwanuka,british soul,2016,170,49,28,-8,17,427,66
667,New Gold Dream (81/82/83/84),Simple Minds,art rock,2016,123,75,59,-11,34,339,44
668,Disco Inferno,The Trammps,disco,2016,130,70,68,-9,14,214,54
669,Someone Somewhere (In Summertime),Simple Minds,art rock,2016,100,53,56,-11,11,278,41
670,24K Magic,Bruno Mars,dance pop,2016,107,80,82,-4,15,226,78
671,Blackstar,David Bowie,album rock,2016,98,55,37,-8,18,598,55
672,Water Under the Bridge,Adele,british soul,2016,95,84,60,-7,11,240,67
673,All I Ask,Adele,british soul,2016,142,28,59,-5,15,272,70
674,The Life I Live,Q'65,dutch prog,2016,131,46,60,-12,22,204,27
675,We All Stand Together - Remastered 2016,Paul McCartney,album rock,2016,72,26,35,-12,13,265,24
676,Heathens,Twenty One Pilots,modern rock,2016,90,40,73,-9,11,196,81
677,Jacob’s Song,Douwe Bob,dutch americana,2016,74,51,36,-8,16,318,40
678,Way Down We Go,KALEO,icelandic indie,2016,163,51,49,-8,10,214,76
679,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,237,80
680,Forbidden Colours,Ryuichi Sakamoto,compositional ambient,2016,105,24,61,-17,25,290,28
681,The Book Of Love,Gavin James,neo mellow,2016,108,7,52,-14,13,177,34
682,Zoutelande - feat. Geike,BLØF,dutch pop,2017,129,64,67,-7,14,223,41
683,Pokémon Theme-New Studio Recording,Jason Paige,pop,2017,145,91,57,-5,14,197,41
684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,263,87
685,Thriller,Michael Jackson,pop,2017,118,89,76,-4,85,358,69
686,Boulevard of Broken Dreams,Green Day,modern rock,2017,167,68,50,-4,6,262,74
687,What About Us,P!nk,dance pop,2017,114,59,49,-6,9,270,76
688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,234,87
689,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,204,88
690,Human,Rag'n'Bone Man,neo soul,2017,75,71,60,-4,17,200,78
691,Het het nog nooit zo donker west,Ede Staal,streektaal,2017,98,21,61,-20,8,274,28
692,Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,261,79
693,Sign of the Times,Harry Styles,dance pop,2017,120,60,52,-5,11,341,80
694,In the Blood,John Mayer,neo mellow,2017,80,66,55,-7,10,244,66
695,Nao ’t Zuuje,Lex Uiting,carnaval limburg,2017,190,53,26,-6,5,213,41
696,"Roll Over Lay Down - Live At The Kursaal, Southend / 1975",Status Quo,album rock,2017,132,69,34,-9,34,341,32
697,Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,201,82
698,Amigo,Chef'Special,dutch indie,2017,145,91,55,-5,35,180,33
699,Iederene Hef Een Reden,Bökkers,dutch rock,2017,108,61,57,-9,10,185,41
700,Everything Now,Arcade Fire,alternative dance,2017,116,87,55,-5,46,303,66
701,Sorry,Nothing But Thieves,alternative pop rock,2017,128,78,67,-5,13,215,62
702,One More Light,Linkin Park,alternative metal,2017,84,20,59,-11,9,255,75
703,Through the Barricades - Remastered,Spandau Ballet,dance rock,2017,146,28,49,-14,12,360,60
704,Freedom! '90 - Remastered,George Michael,dance rock,2017,92,85,68,-11,6,391,69
705,Amsterdam,Nothing But Thieves,alternative pop rock,2017,168,93,51,-5,24,272,63
706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,247,84
707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,187,86
708,Thinking Of A Place,The War On Drugs,chamber pop,2017,103,63,48,-7,12,671,59
709,Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,208,83
710,Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,171,80
711,Sunny Days,Armin van Buuren,edm,2017,115,71,63,-7,14,210,54
712,Supermarket Flowers,Ed Sheeran,pop,2017,90,24,59,-11,9,221,78
713,Holiday,Green Day,modern rock,2017,147,89,55,-3,89,233,67
714,Max,Paolo Conte,italian pop,2017,125,40,50,-9,12,225,25
715,Rapper's Delight,The Sugarhill Gang,east coast hip hop,2017,112,75,91,-10,4,234,48
716,Pain,The War On Drugs,chamber pop,2017,116,83,52,-4,8,331,62
717,Love On The Rocks,Neil Diamond,adult standards,2017,103,31,40,-8,12,262,40
718,Tuesday Afternoon (Forever Afternoon),The Moody Blues,album rock,2017,114,32,50,-13,24,249,50
719,Magnificent (She Says),Elbow,britpop,2017,92,87,51,-7,5,266,31
720,Nicotine,Chef'Special,dutch indie,2017,90,30,64,-10,10,238,36
721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,230,71
722,Beautiful Trauma,P!nk,dance pop,2017,96,62,41,-6,40,250,68
723,World Gone Mad,Bastille,metropopolis,2017,140,68,51,-3,18,196,64
724,Leave a Light On,Tom Walker,indie anthem-folk,2017,69,62,59,-6,13,186,75
725,Skin,Rag'n'Bone Man,neo soul,2017,171,75,56,-8,15,240,69
726,Lost on You,LP,la pop,2017,174,72,43,-6,9,268,78
727,Shallow,Lady Gaga,dance pop,2018,96,39,57,-6,23,216,88
728,Kleine Jongen,Andre Hazes,dutch pop,2018,91,70,54,-6,10,221,30
729,Duurt Te Lang,Davina Michelle,dutch pop,2018,174,44,64,-14,9,154,68
730,I Want To Break Free,Queen,glam rock,2018,109,41,81,-9,8,223,59
731,September,"Earth, Wind & Fire",disco,2018,126,83,69,-7,25,215,82
732,Voor Haar,Frans Halsema,dutch rock,2018,82,36,28,-12,25,172,30
733,Testament,Boudewijn de Groot,dutch indie,2018,122,40,43,-10,12,195,28
734,Atemlos durch die Nacht,Helene Fischer,german pop,2018,128,78,81,-4,19,220,38
735,Zij Gelooft In Mij,Andre Hazes,dutch pop,2018,152,60,32,-6,25,240,30
736,Verdronken Vlinder,Boudewijn de Groot,dutch indie,2018,128,54,33,-9,21,146,29
737,Als Het Avond Is,Suzan & Freek,dutch pop,2018,105,47,72,-7,11,206,65
738,De Vlieger,Andre Hazes,dutch pop,2018,105,66,40,-7,23,217,27
739,Geef Mij Je Angst,Andre Hazes,dutch pop,2018,140,57,34,-7,42,257,30
740,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,189,84
741,IJskoud,Nielson,dutch pop,2018,98,73,67,-7,37,210,65
742,Welterusten Mijnheer De President,Boudewijn de Groot,dutch indie,2018,131,41,55,-11,24,152,23
743,Jimmy,Boudewijn de Groot,dutch indie,2018,111,74,66,-10,32,236,32
744,Bad Liar,Imagine Dragons,modern rock,2018,178,64,38,-7,37,261,83
745,Sammy,Ramses Shaffy,dutch cabaret,2018,81,49,50,-8,14,135,23
746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,191,87
747,Het Land Van Maas En Waal,Boudewijn de Groot,dutch indie,2018,126,60,73,-10,6,179,23
748,Shotgun,George Ezra,folk-pop,2018,116,74,67,-5,24,201,82
749,New Light,John Mayer,neo mellow,2018,124,69,83,-8,8,216,81
750,You Say,Lauren Daigle,ccm,2018,148,63,49,-7,9,275,80
751,Een Beetje Verliefd,Andre Hazes,dutch pop,2018,198,61,30,-7,15,251,32
752,Someone You Loved,Lewis Capaldi,pop,2018,110,41,50,-6,11,182,85
753,Banger Hart - Radio Mix,Rob De Nijs,dutch pop,2018,124,89,77,-9,6,261,16
754,Malle Babbe,Rob De Nijs,dutch pop,2018,87,38,35,-10,12,253,15
755,Vluchten Kan Niet Meer,Frans Halsema,dutch rock,2018,87,25,41,-13,38,221,17
756,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,212,80
757,High On Life (feat. Bonn),Martin Garrix,big room,2018,128,49,41,-6,11,231,78
758,Het Is Koud Zonder Jou,Andre Hazes,dutch pop,2018,197,64,18,-7,12,241,30
759,N Vriend,Andre Hazes,dutch pop,2018,68,58,23,-7,9,292,31
760,Always Remember Us This Way,Lady Gaga,dance pop,2018,130,50,55,-6,76,210,81
761,Een Meisje Van Zestien,Boudewijn de Groot,dutch indie,2018,140,49,57,-11,17,179,20
762,Why Don't You Do Right,Beth Hart,blues rock,2018,106,74,63,-8,17,276,44
763,De Zon Op,Diggy Dex,dutch hip hop,2018,100,57,74,-8,10,209,52
764,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,203,84
765,Prikkebeen,Boudewijn de Groot,dutch indie,2018,109,52,57,-11,13,252,17
766,Outlaw In 'Em,Waylon,dutch americana,2018,87,93,50,-3,37,217,39
767,Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,dutch indie,2018,132,71,42,-11,3,205,19
768,Skandal im Sperrbezirk,Spider Murphy Gang,austropop,2018,93,84,64,-8,21,216,26
769,Pain and Misery,The Teskey Brothers,australian americana,2018,89,34,71,-7,16,241,50
770,I Do,Douwe Bob,dutch americana,2018,73,25,49,-11,8,202,52
771,Het Laatste Rondje - Remastered,Andre Hazes,dutch pop,2018,103,76,53,-7,14,258,33
772,Guiding Light,Mumford & Sons,modern folk rock,2018,100,71,55,-8,8,218,60
773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,217,85
774,Hou Vol Hou Vast,BLØF,dutch pop,2018,86,61,51,-5,8,295,12
775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,215,86
776,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,114,79,60,-6,39,217,79
777,Lay Your Weapons Down,Ilse DeLange,dutch americana,2018,94,68,54,-9,9,219,21
778,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,211,82
779,Roller Coaster,Danny Vera,dutch americana,2019,97,38,40,-10,12,270,70
780,Arcade,Duncan Laurence,dutch pop,2019,72,33,45,-13,14,184,73
781,A Whiter Shade of Pale - Original Single Version,Procol Harum,album rock,2019,150,66,25,-7,9,249,67
782,Don't You (Forget About Me),Simple Minds,art rock,2019,111,75,67,-9,29,261,73
783,The Load-Out - Remastered,Jackson Browne,album rock,2019,106,32,52,-12,13,335,37
784,Stay - Remastered,Jackson Browne,album rock,2019,107,77,60,-8,11,204,36
785,Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,265,85
786,Time To Give,White Lies,alternative dance,2019,120,83,43,-6,14,455,50
787,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,194,95
788,Memories,Maroon 5,pop,2019,91,32,76,-7,8,189,98
789,Love Like Blood,Killing Joke,alternative metal,2019,124,76,40,-8,37,261,37
790,Reünie,Snelle,dutch hip hop,2019,96,35,51,-9,59,172,71
791,About A Girl - Live Version,Nirvana,alternative rock,2019,121,76,61,-9,73,218,50
792,DEUTSCHLAND,Rammstein,alternative metal,2019,120,90,52,-5,10,322,72
793,Phantom Of The Opera,Floor Jansen,dutch pop,2019,132,87,47,-6,25,244,56
794,Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,209,100
795,Blauwe Dag,Suzan & Freek,dutch pop,2019,98,56,70,-7,28,183,68
796,Homburg - Single Version - 2009 Remaster - Mono,Procol Harum,album rock,2019,142,66,36,-8,6,237,32
797,Uncharted,Kensington,dutch pop,2019,139,53,59,-7,29,241,65
798,Despacito,Luis Fonsi,latin,2019,178,80,66,-5,7,229,80
799,Dancing On My Own,Calum Scott,australian pop,2019,113,17,68,-9,10,260,28
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
